idiom,condition,sentence,head_conventionality_score,nonhead_conventionality_score
"('mean', 'business')",idiom,The party is trying to convince people it means business.,35.126354,30.909622
"('mean', 'business')",idiom,You’ve got to tell the students that you mean business.,38.94558,28.843147
"('mean', 'business')",idiom,He really means business with this deadline.,38.980083,31.056347
"('mean', 'business')",idiom,Now people are starting to realise that he means business.,38.166126,30.393524
"('mean', 'business')",idiom,I mean business with this marathon project.,43.027054,34.761852
"('mean', 'business')",idiom,I could tell from the look on her face that she meant business.,41.695866,44.263092
"('mean', 'business')",idiom,The entrepreneur meant business with her promise to become a billionaire.,35.087322,32.187828
"('mean', 'business')",idiom,The fire in his eyes suggests that he means business.,41.492847,37.23896
"('mean', 'business')",idiom,The agency means business with their threats to close us down.,37.167133,34.01922
"('turn', 'tail')",idiom,The fox quickly turned tail after seing the hunter.,58.164013,44.006634
"('turn', 'tail')",idiom,Harry wasn't the type to turn tail.,54.198803,49.112602
"('turn', 'tail')",idiom,"When they heard the sirens, the gangsters turned tail.",57.329895,46.370876
"('turn', 'tail')",idiom,"Startled by the unexpected appearance, the teenagers turned tail without looking back.",58.16374,49.02227
"('turn', 'tail')",idiom,"After the crash, the vehicle turned tail.",54.912384,50.38779
"('turn', 'tail')",idiom,"If the presentation is not perfect, investors could turn tail as fast as they came.",50.001877,49.539062
"('turn', 'tail')",idiom,"As soon as they saw we had guns, they turned tail.",62.828945,52.90792
"('turn', 'tail')",idiom,The agitators turned tail after seeing how heavily armed the policemen were.,51.324234,46.289917
"('turn', 'tail')",idiom,Rebels were forced back from position after position until they turned tail.,58.24084,51.62295
"('turn', 'tail')",idiom,The thieves turned tail after seeing the guards.,51.99863,44.667305
"('rock', 'boat')",idiom,Don't rock the boat without my permission.,37.782608,29.711374
"('rock', 'boat')",idiom,"Jonathan did not speak up, fearing he would rock the boat.",36.46137,27.679287
"('rock', 'boat')",idiom,"We are days before the elections, so please do not rock the boat.",42.396797,45.258625
"('rock', 'boat')",idiom,It's better not to rock the boat at first.,37.52372,31.518667
"('rock', 'boat')",idiom,"Things are going well, so please don't rock the boat.",45.790432,42.89175
"('rock', 'boat')",idiom,You can always count on my sister to rock the boat at a family function.,40.57603,51.450336
"('rock', 'boat')",idiom,Employers don't like people who rock the boat.,44.051693,45.124546
"('rock', 'boat')",idiom,I don't want to rock the boat in any way.,37.699516,36.27973
"('rock', 'boat')",idiom,"He kept his feelings to himself, not wanting to rock the boat.",38.954636,47.6385
"('rock', 'boat')",idiom,No one would want to rock the boat on a deal like that.,39.503784,51.586845
"('lead', 'field')",idiom,Americans continue to lead the field when it comes to child actors.,50.04121,54.89448
"('lead', 'field')",idiom,"When it comes to baking, the French lead the field.",49.31039,54.1568
"('lead', 'field')",idiom,European cyclists usually lead the field.,51.972923,70.58179
"('lead', 'field')",idiom,When it comes to picking up awards they lead the field by miles.,54.836864,59.049232
"('lead', 'field')",idiom,"When it comes the space exploration, Americans lead the field.",48.82289,48.32774
"('lead', 'field')",idiom,"In the cellular phone market, two companies lead the field on an equal footing.",49.314663,53.706165
"('lead', 'field')",idiom,"When it comes to Grammy nominations, pop artists lead the field.",53.050133,59.716503
"('lead', 'field')",idiom,The actor leads the field with 12 nominations.,52.75917,71.17434
"('lead', 'field')",idiom,Russian figure skaters lead the field.,66.20715,76.79842
"('lead', 'field')",idiom,This company led the field for nearly two decades.,50.833694,52.980026
"('strike', 'chord')",idiom,Their policy on childcare has struck a chord with family voters.,52.081253,69.9415
"('strike', 'chord')",idiom,The author's words really struck a chord.,50.443554,64.11568
"('strike', 'chord')",idiom,His anti-government theme struck a chord.,51.501022,62.242218
"('strike', 'chord')",idiom,Apparently we have struck a chord with a lot of people.,49.932213,60.1472
"('strike', 'chord')",idiom,The professor's comments seemed to strike a chord.,56.571037,63.53734
"('strike', 'chord')",idiom,The novels have struck a chord with readers and publishers alike.,52.714573,65.33526
"('strike', 'chord')",idiom,His unforgiving self-analysis will no doubt strike a chord.,56.71214,65.92079
"('strike', 'chord')",idiom,This story may strike a chord for other women in the same situation.,56.893032,62.795128
"('strike', 'chord')",idiom,Her comments about political corruption clearly struck a chord.,53.162098,67.559296
"('strike', 'chord')",idiom,The speaker obviously struck a chord with his audience.,48.745842,59.546722
"('run', 'show')",idiom,They made it clear who runs the show around the office.,35.598976,34.558907
"('run', 'show')",idiom,Somebody had to run the show.,30.308634,29.864267
"('run', 'show')",idiom,There are some serious problems with the way the state's leadership runs the show.,34.13295,32.62671
"('run', 'show')",idiom,Many wonder who will run the show after his passing.,32.656403,30.316008
"('run', 'show')",idiom,It looks to me as if the employees run the show.,35.00348,38.362003
"('run', 'show')",idiom,The king's mother runs the show behind the scene.,29.497652,35.999397
"('run', 'show')",idiom,We need to find someone to run the show.,29.492762,31.407988
"('run', 'show')",idiom,We will let the organizations run the show with this new project.,31.793917,29.457096
"('run', 'show')",idiom,You'll be given free rein to run the show.,30.907492,33.026127
"('run', 'show')",idiom,Corporate is looking for someone dynamic to run the show until the boss comes back.,29.991856,33.916973
"('spill', 'bean')",verbmatch,"""In a fit of rage, the toddler decided to spill the juice all over the floor.",29.799604,NA
"('spill', 'bean')",verbmatch,"""My brother is very clumsy, so he might spill the drinks.",25.774523,NA
"('spill', 'bean')",verbmatch,"""The carpet is new, so please be careful not to spill the wine.",25.597055,NA
"('spill', 'bean')",verbmatch,The manager is worried that the waiter might spill the soup in front of all the clients.,24.99551,NA
"('spill', 'bean')",verbmatch,"""The waiter stumbled, but luckily he didn't spill the drinks.",27.58756,NA
"('spill', 'bean')",verbmatch,Please do not spill the soap all over the countertops.,31.676825,NA
"('spill', 'bean')",verbmatch,The young girl is proud that she managed not to spill the milk.,24.872038,NA
"('spill', 'bean')",verbmatch,The teacher made sure that the students did not spill the ink all over their homework.,26.15929,NA
"('spill', 'bean')",verbmatch,It would be disastrous if this ship were to spill the oil.,32.066525,NA
"('spill', 'bean')",verbmatch,I told him to be careful not to spill the beer all over me.,27.422422,NA
"('call', 'shot')",verbmatch,"""Whenever I feel sick, I call my mom to help me out.",26.597582,NA
"('call', 'shot')",verbmatch,"""If you need help with this document, you can call the boss.",23.11339,NA
"('call', 'shot')",verbmatch,The soldier fired three times and did not miss a shot.,23.048431,NA
"('call', 'shot')",verbmatch,The principal said he would call my dad to let him know what happened.,23.856794,NA
"('call', 'shot')",verbmatch,Michelle needs to call her friend.,31.133297,NA
"('call', 'shot')",verbmatch,We should probably call a cab before it gets too late.,26.759596,NA
"('call', 'shot')",verbmatch,"""As soon as we get there, I will call the cops.",25.764458,NA
"('call', 'shot')",verbmatch,He never fails to call his mom on her birthday.,32.252865,NA
"('call', 'shot')",verbmatch,I think I heard someone call their dog.,34.35914,NA
"('clear', 'air')",verbmatch,The barman cleared the bar to make space for a new guest.,25.088032,NA
"('clear', 'air')",verbmatch,"""Before you start building your house, you should first clear the ground.",30.488815,NA
"('clear', 'air')",verbmatch,"""With a wave of the arm, the lawyer cleared his desk.",30.760086,NA
"('clear', 'air')",verbmatch,The art collector cleared her shelf to make space for her new acquisition.,22.622023,NA
"('clear', 'air')",verbmatch,The workers used bulldozers to clear the land.,27.952744,NA
"('clear', 'air')",verbmatch,Let me clear my bed from all the clothes.,29.292175,NA
"('clear', 'air')",verbmatch,They were shoveling the snow to clear a path.,25.601337,NA
"('clear', 'air')",verbmatch,The farmer cleared the shed to make space for his new truck.,23.294834,NA
"('clear', 'air')",verbmatch,This gust of wind really seems to have cleared the sky.,30.58591,NA
"('clear', 'air')",verbmatch,Julia began to clear the dishes from the table.,29.834896,NA
"('have', 'ball')",verbmatch,I can't wait to have a cat in my new appartment.,29.72846,NA
"('have', 'ball')",verbmatch,This park has a bench.,32.440617,NA
"('have', 'ball')",verbmatch,Mike already has a couch.,27.030565,NA
"('have', 'ball')",verbmatch,I have a plant in my living room.,24.32342,NA
"('have', 'ball')",verbmatch,"""As a kid, I desperately wanted to have a cat.",29.772264,NA
"('have', 'ball')",verbmatch,Monica has a shirt with stripes.,27.17943,NA
"('have', 'ball')",verbmatch,My dad has a bike and my mom has a car.,23.120358,NA
"('have', 'ball')",verbmatch,My parents used to have a house by a lake.,27.127226,NA
"('have', 'ball')",verbmatch,John's dad has a farm.,27.392946,NA
"('have', 'ball')",verbmatch,I have a book on art history.,27.850044,NA
"('get', 'sack')",verbmatch,I stopped by the bakery and got the cake for my dad.,26.098722,NA
"('get', 'sack')",verbmatch,The hosts expect to get a gift.,25.973175,NA
"('get', 'sack')",verbmatch,I am trying to convince my mom to get a dog.,28.635489,NA
"('get', 'sack')",verbmatch,Sasha went to get a glass in the kitchen.,29.777182,NA
"('get', 'sack')",verbmatch,Yesterday I went to the store to get a dress.,28.43219,NA
"('get', 'sack')",verbmatch,The journalist got a tip from an anonymous source.,29.31507,NA
"('get', 'sack')",verbmatch,"""If you park your car there, you might get a fine.",30.090393,NA
"('get', 'sack')",verbmatch,My niece got a crown for her birthday.,23.7694,NA
"('get', 'sack')",verbmatch,"""Last year for Christmas, I got a mug.",27.077438,NA
"('get', 'sack')",verbmatch,The toddler got a star for his good behavior.,27.316893,NA
"('bite', 'dust')",verbmatch,It was Eve who bit the fruit in the garden of Eden.,25.515736,NA
"('bite', 'dust')",verbmatch,The young girl blushed and bit her lip.,30.675978,NA
"('bite', 'dust')",verbmatch,I understand why the mailman is afraid of my dog: she tried to bite the guy.,24.678505,NA
"('bite', 'dust')",verbmatch,The dog bit the shoes in the entrance.,27.747343,NA
"('bite', 'dust')",verbmatch,My cat often bites my arm.,29.287815,NA
"('bite', 'dust')",verbmatch,Scorpios bite their prey to inject them with venom.,26.486933,NA
"('bite', 'dust')",verbmatch,"""If there is one thing I cannot stand, it is people who bite their nails.",26.951302,NA
"('bite', 'dust')",verbmatch,She licked her lips before she bit the cake.,30.907757,NA
"('bite', 'dust')",verbmatch,He was sure he saw her bite her cheeks.,29.171953,NA
"('bite', 'dust')",verbmatch,Lions bite their preys at the neck.,24.839273,NA
"('break', 'mold')",verbmatch,Harry broke a vase in the living room.,28.404945,NA
"('break', 'mold')",verbmatch,I'm worried that the kids might break the frame.,26.34647,NA
"('break', 'mold')",verbmatch,Sophie was startled and accidentally broke a glass.,26.749615,NA
"('break', 'mold')",verbmatch,I’m worried that you might break the plates by going too fast.,26.121466,NA
"('break', 'mold')",verbmatch,"""Last time she went skiing, Sarah broke a leg.",32.075657,NA
"('break', 'mold')",verbmatch,I broke my phone by dropping it on the floor.,26.969646,NA
"('break', 'mold')",verbmatch,Please be careful not to break the dishes.,30.014032,NA
"('break', 'mold')",verbmatch,"""Unfortunately, I already broke the lace off my new shoes.",29.025974,NA
"('break', 'mold')",verbmatch,The thieves managed to break the glass.,24.490656,NA
"('break', 'mold')",verbmatch,I got angry at my son when he broke a lamp with his soccer ball.,26.11127,NA
"('lose', 'ground')",verbmatch,It is very common for people to lose keys on their way to work.,25.514242,NA
"('lose', 'ground')",verbmatch,"""Alexa gave Mary her diary for safekeeping, not knowing she would lose it.",28.212954,NA
"('lose', 'ground')",verbmatch,My grandpa always loses gloves.,30.214527,NA
"('lose', 'ground')",verbmatch,Many people lose bags.,26.501583,NA
"('lose', 'ground')",verbmatch,Students often lose pens in their backpacks.,28.010208,NA
"('lose', 'ground')",verbmatch,The worst thing a hiker could do is lose shoes.,25.143848,NA
"('lose', 'ground')",verbmatch,Michael's wallet had a hole in it and he lost coins.,27.080717,NA
"('lose', 'ground')",verbmatch,I always lose socks in the dryer.,24.25243,NA
"('lose', 'ground')",verbmatch,"""These documents are very important, so please be careful not to lose them.",28.81393,NA
"('lose', 'ground')",verbmatch,"""Sarah's cat ran away, and she is worried that she lost him.",32.391792,NA
"('make', 'wave')",verbmatch,I hear waves from my bedroom.,28.103342,NA
"('make', 'wave')",verbmatch,I don't know how this new company expects to make sales.,25.230677,NA
"('make', 'wave')",verbmatch,This lawyer always wished he had more time to make art.,28.21473,NA
"('make', 'wave')",verbmatch,Artists often make art about their own feelings.,29.946415,NA
"('make', 'wave')",verbmatch,My neighbors don't want us to make noise.,30.174822,NA
"('make', 'wave')",verbmatch,Kevin's father made sweets for the entire class.,27.246645,NA
"('make', 'wave')",verbmatch,The businessman is stepping out to make calls.,28.158405,NA
"('make', 'wave')",verbmatch,You need to make money to travel.,25.816673,NA
"('make', 'wave')",verbmatch,My daughter is excited to start school and make friends.,26.085634,NA
"('cut', 'corner')",verbmatch,Kids love to cut circles into cardboard paper.,28.38636,NA
"('cut', 'corner')",verbmatch,These scissors aren't sharp enough to cut fabric.,26.652733,NA
"('cut', 'corner')",verbmatch,"""When making clothes, it is important to cut patterns.",27.412329,NA
"('cut', 'corner')",verbmatch,The cook cut mushrooms for the soup.,33.2783,NA
"('cut', 'corner')",verbmatch,It breaks my heart whenever I have to cut flowers.,28.66103,NA
"('cut', 'corner')",verbmatch,You can always cut fabric to make a rag.,21.002674,NA
"('cut', 'corner')",verbmatch,My job at the bakery is to cut pastries.,25.741184,NA
"('cut', 'corner')",verbmatch,The pirate cut cables on the boat.,30.593105,NA
"('cut', 'corner')",verbmatch,"""To open a package, you often have to cut cardboard.",24.351374,NA
"('cut', 'corner')",verbmatch,The mother cut apples for her children's snack.,29.169548,NA
"('raise', 'hell')",verbmatch,It is not always easy to raise kids in this country.,26.836567,NA
"('raise', 'hell')",verbmatch,The new CEO promised to raise pays.,30.248064,NA
"('raise', 'hell')",verbmatch,My uncle and aunt raise ducks.,27.565128,NA
"('raise', 'hell')",verbmatch,Sheep farmers raise sheep for their wool.,29.961266,NA
"('raise', 'hell')",verbmatch,"""Not only do farmers grow crops, but they also raise cows.",21.180529,NA
"('raise', 'hell')",verbmatch,My neighbors raise worms to use in their compost.,25.841162,NA
"('raise', 'hell')",verbmatch,Dairy farmers usually raise cows.,25.61316,NA
"('raise', 'hell')",verbmatch,Students must raise hands to speak.,35.025105,NA
"('raise', 'hell')",verbmatch,It is truly shocking to learn the conditions in which we raise pigs.,23.637651,NA
"('raise', 'hell')",verbmatch,"""As a philantropist, my job is to raise funds for charity.",28.799803,NA
"('pull', 'string')",verbmatch,My toddler unfornately likes to grab and pull hair from our dog.,30.863241,NA
"('pull', 'string')",verbmatch,It is much more difficult to lift a heavy box than to pull one.,25.558794,NA
"('pull', 'string')",verbmatch,You have to pull ropes to raise the flag.,25.384022,NA
"('pull', 'string')",verbmatch,My truck is strong enough to pull boats.,23.521748,NA
"('pull', 'string')",verbmatch,"""Before the 20th century, horses pulled carts.",33.204807,NA
"('pull', 'string')",verbmatch,"""The bookshelf is misplaced, please pull books to the left a little bit.",28.814318,NA
"('pull', 'string')",verbmatch,A tow truck can be used to pull cars.,23.195175,NA
"('pull', 'string')",verbmatch,My dog likes to pull toys into the living room.,29.788822,NA
"('pull', 'string')",verbmatch,It is a dentist's job to pull teeth.,25.080812,NA
"('pull', 'string')",verbmatch,The movers pulled chairs from one side of the room to another.,29.821564,NA
"('mean', 'business')",verbmatch,This necklace means nothing to me.,30.767458,NA
"('mean', 'business')",verbmatch,"""Here, the word """"future"""" seemed to mean something.",24.628155,NA
"('mean', 'business')",verbmatch,This cipher has got to mean something.,29.616041,NA
"('mean', 'business')",verbmatch,My name means hopeful in Spanish.,28.653433,NA
"('mean', 'business')",verbmatch,My dad used to tell me that hearing crickets meant sunshine.,29.139658,NA
"('mean', 'business')",verbmatch,I can't tell if this message is supposed to mean something after all.,23.621948,NA
"('mean', 'business')",verbmatch,This incomprehensible gibberish means nothing.,27.09791,NA
"('mean', 'business')",verbmatch,The kiss meant nothing to Sarah.,30.789022,NA
"('mean', 'business')",verbmatch,"""The mother realised her toddler's gibberish meant """"hungry"""".",27.171024,NA
"('mean', 'business')",verbmatch,Many Canadian cities' names mean something in indigenous languages.,24.516264,NA
"('turn', 'tail')",verbmatch,Movie theaters turn chairs towards the screen.,33.601303,NA
"('turn', 'tail')",verbmatch,"""Nowadays, to activate most ovens, you need to turn knobs.",25.77899,NA
"('turn', 'tail')",verbmatch,Many people find it difficult to turn screws.,25.614214,NA
"('turn', 'tail')",verbmatch,It used to be common in America to turn screens toward the dining table.,27.561415,NA
"('turn', 'tail')",verbmatch,It is difficult to park if you don't know how to turn wheels.,29.412725,NA
"('turn', 'tail')",verbmatch,Feng Shui says that you should not turn chairs to face a wall.,26.087393,NA
"('turn', 'tail')",verbmatch,My dog has figured out how to turn knobs.,27.579412,NA
"('turn', 'tail')",verbmatch,You have to turn cakes in the oven.,29.32082,NA
"('turn', 'tail')",verbmatch,This employee's main task is to turn cranks.,25.418566,NA
"('turn', 'tail')",verbmatch,You should always turn plants towards a window.,25.662775,NA
"('rock', 'boat')",verbmatch,This dad likes to rock his child to sleep.,28.84725,NA
"('rock', 'boat')",verbmatch,The explosion rocked the town.,33.7947,NA
"('rock', 'boat')",verbmatch,The waves softly rocked the ship.,23.906286,NA
