sentence_number,sentence,word,surprisal_score,target_phrase
4,"In this country, the president is the one to call the shots about military operations.", call,3.7145422,verb
4,"In this country, the president is the one to call the shots about military operations.", the,1.0543672,context
4,"In this country, the president is the one to call the shots about military operations.", shots,0.3390525,noun
4,"In this country, the president is the one to call the shots about military operations.", about,5.5639806,context
4,"In this country, the president is the one to call the shots about military operations.", military,1.7896751,context
4,"In this country, the president is the one to call the shots about military operations.", operations,2.5448663,context
4,"In this country, the president is the one to call the shots about military operations.",.,1.9763831,context
5,"Whenever I feel sick, I call my mom to help me out.",Whenever,10.275859,context
5,"Whenever I feel sick, I call my mom to help me out.", I,1.736508,preverb
5,"Whenever I feel sick, I call my mom to help me out.", feel,4.733001,context
5,"Whenever I feel sick, I call my mom to help me out.", sick,5.993479,context
5,"Whenever I feel sick, I call my mom to help me out.",",",0.585743,context
5,"Whenever I feel sick, I call my mom to help me out.", I,0.31818536,preverb
5,"Whenever I feel sick, I call my mom to help me out.", call,3.7357533,verb
5,"Whenever I feel sick, I call my mom to help me out.", my,1.2512609,context
5,"Whenever I feel sick, I call my mom to help me out.", mom,1.3154472,noun
5,"Whenever I feel sick, I call my mom to help me out.", to,2.775513,context
5,"Whenever I feel sick, I call my mom to help me out.", help,3.8909833,context
5,"Whenever I feel sick, I call my mom to help me out.", me,0.043404836,context
5,"Whenever I feel sick, I call my mom to help me out.", out,1.6052281,context
5,"Whenever I feel sick, I call my mom to help me out.",.,1.4395076,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., prisoner,11.289549,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., wants,6.621798,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., a,2.5481822,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., chance,6.3623233,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., to,0.17338851,preverb
6,The prisoner wants a chance to call his son to wish him a happy birthday., call,4.2366548,verb
6,The prisoner wants a chance to call his son to wish him a happy birthday., his,0.6298581,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., son,6.3248215,noun
6,The prisoner wants a chance to call his son to wish him a happy birthday., to,3.1347291,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., wish,5.858592,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., him,0.017628008,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., a,0.3136572,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., happy,0.27473316,context
6,The prisoner wants a chance to call his son to wish him a happy birthday., birthday,0.12249123,context
6,The prisoner wants a chance to call his son to wish him a happy birthday.,.,0.7370201,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., asked,6.1951437,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., my,3.8117929,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., supervisor,6.705729,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., to,2.221218,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., meet,5.2534056,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., so,4.773613,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., I,0.88989043,preverb
7, I asked my supervisor to meet so I could clear the air about my recent absences., could,0.114760056,verb
7, I asked my supervisor to meet so I could clear the air about my recent absences., clear,6.62429,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., the,0.48423117,noun
7, I asked my supervisor to meet so I could clear the air about my recent absences., air,0.026671797,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., about,3.211487,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., my,1.5863152,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., recent,3.554848,context
7, I asked my supervisor to meet so I could clear the air about my recent absences., abs,3.681869,context
7, I asked my supervisor to meet so I could clear the air about my recent absences.,ences,0.0017297462,context
7, I asked my supervisor to meet so I could clear the air about my recent absences.,.,0.6186635,context
8,The barman cleared the bar to make space for a new guest., bar,8.35056,noun
8,The barman cleared the bar to make space for a new guest.,man,3.8935535,context
8,The barman cleared the bar to make space for a new guest., cleared,6.365255,verb
8,The barman cleared the bar to make space for a new guest., the,3.1690745,context
8,The barman cleared the bar to make space for a new guest., bar,2.5664916,noun
8,The barman cleared the bar to make space for a new guest., to,4.9804873,context
8,The barman cleared the bar to make space for a new guest., make,1.5413542,context
8,The barman cleared the bar to make space for a new guest., space,2.303411,context
8,The barman cleared the bar to make space for a new guest., for,0.3815336,context
8,The barman cleared the bar to make space for a new guest., a,2.4380965,context
8,The barman cleared the bar to make space for a new guest., new,3.1181812,context
8,The barman cleared the bar to make space for a new guest., guest,5.2238355,context
8,The barman cleared the bar to make space for a new guest.,.,0.85155493,context
9,I love to breathe the air in the mountains., love,6.123108,context
9,I love to breathe the air in the mountains., to,3.1899154,preverb
9,I love to breathe the air in the mountains., breathe,9.0834875,verb
9,I love to breathe the air in the mountains., the,2.4131749,context
9,I love to breathe the air in the mountains., air,1.2877758,noun
9,I love to breathe the air in the mountains., in,2.350768,context
9,I love to breathe the air in the mountains., the,0.83243984,context
9,I love to breathe the air in the mountains., mountains,1.3261013,context
9,I love to breathe the air in the mountains.,.,1.5288962,context
10,I used to hate exercise but now I have a ball at the gym., used,6.2185125,context
10,I used to hate exercise but now I have a ball at the gym., to,0.9055751,context
10,I used to hate exercise but now I have a ball at the gym., hate,4.8116045,context
10,I used to hate exercise but now I have a ball at the gym., exercise,5.5846868,context
10,I used to hate exercise but now I have a ball at the gym., but,3.1033025,context
10,I used to hate exercise but now I have a ball at the gym., now,1.2506497,context
10,I used to hate exercise but now I have a ball at the gym., I,0.3121863,preverb
10,I used to hate exercise but now I have a ball at the gym., have,4.121753,verb
10,I used to hate exercise but now I have a ball at the gym., a,1.69305,context
10,I used to hate exercise but now I have a ball at the gym., ball,9.400516,noun
10,I used to hate exercise but now I have a ball at the gym., at,3.7376685,context
10,I used to hate exercise but now I have a ball at the gym., the,0.51107395,context
10,I used to hate exercise but now I have a ball at the gym., gym,0.25751185,context
10,I used to hate exercise but now I have a ball at the gym.,.,1.1838833,context
11,I can't wait to have a cat in my new appartment., can,4.186504,context
11,I can't wait to have a cat in my new appartment.,'t,1.0403063,context
11,I can't wait to have a cat in my new appartment., wait,2.548983,context
11,I can't wait to have a cat in my new appartment., to,0.3924253,preverb
11,I can't wait to have a cat in my new appartment., have,4.0723743,verb
11,I can't wait to have a cat in my new appartment., a,1.7641741,context
11,I can't wait to have a cat in my new appartment., cat,6.8751283,noun
11,I can't wait to have a cat in my new appartment., in,4.045371,context
11,I can't wait to have a cat in my new appartment., my,0.88878924,context
11,I can't wait to have a cat in my new appartment., new,1.7003068,context
11,I can't wait to have a cat in my new appartment., app,7.3597245,context
11,I can't wait to have a cat in my new appartment.,artment,0.03342557,context
11,I can't wait to have a cat in my new appartment.,.,2.4204435,context
12,My dog loves when I throw a ball in the backyard., dog,7.0015945,context
12,My dog loves when I throw a ball in the backyard., loves,3.8868847,context
12,My dog loves when I throw a ball in the backyard., when,6.1759863,context
12,My dog loves when I throw a ball in the backyard., I,0.21598412,preverb
12,My dog loves when I throw a ball in the backyard., throw,4.622024,verb
12,My dog loves when I throw a ball in the backyard., a,2.3356028,context
12,My dog loves when I throw a ball in the backyard., ball,0.6844398,noun
12,My dog loves when I throw a ball in the backyard., in,3.6615345,context
12,My dog loves when I throw a ball in the backyard., the,0.067306906,context
12,My dog loves when I throw a ball in the backyard., backyard,2.3071306,context
12,My dog loves when I throw a ball in the backyard.,.,1.54139,context
13,She got the sack for always being late., got,6.049043,verb
13,She got the sack for always being late., the,2.6962328,context
13,She got the sack for always being late., sack,5.812495,noun
13,She got the sack for always being late., for,1.5512513,context
13,She got the sack for always being late., always,6.0255127,context
13,She got the sack for always being late., being,0.62696445,context
13,She got the sack for always being late., late,0.22506008,context
13,She got the sack for always being late.,.,1.7333779,context
14,I stopped by the bakery and got the cake for my dad., stopped,8.727919,context
14,I stopped by the bakery and got the cake for my dad., by,2.7811115,context
14,I stopped by the bakery and got the cake for my dad., the,1.3392489,context
14,I stopped by the bakery and got the cake for my dad., bakery,4.945665,context
14,I stopped by the bakery and got the cake for my dad., and,2.1511533,preverb
14,I stopped by the bakery and got the cake for my dad., got,1.842643,verb
14,I stopped by the bakery and got the cake for my dad., the,3.3991044,context
14,I stopped by the bakery and got the cake for my dad., cake,3.1965601,noun
14,I stopped by the bakery and got the cake for my dad., for,2.6323369,context
14,I stopped by the bakery and got the cake for my dad., my,3.357164,context
14,I stopped by the bakery and got the cake for my dad., dad,3.750126,context
14,I stopped by the bakery and got the cake for my dad.,.,2.718704,context
15,"Every day, the farmer fills the sacks with grain.",Every,9.77963,context
15,"Every day, the farmer fills the sacks with grain.", day,2.8969204,context
15,"Every day, the farmer fills the sacks with grain.",",",1.6981272,context
15,"Every day, the farmer fills the sacks with grain.", the,3.0251844,context
15,"Every day, the farmer fills the sacks with grain.", farmer,9.474386,preverb
15,"Every day, the farmer fills the sacks with grain.", fills,7.0567894,verb
15,"Every day, the farmer fills the sacks with grain.", the,1.2844719,context
15,"Every day, the farmer fills the sacks with grain.", sacks,7.9322996,noun
15,"Every day, the farmer fills the sacks with grain.", with,0.66697085,context
15,"Every day, the farmer fills the sacks with grain.", grain,2.189549,context
15,"Every day, the farmer fills the sacks with grain.",.,2.0269527,context
16,Many young people’s hopes and ambitions bit the dust during the recession., young,5.80789,context
16,Many young people’s hopes and ambitions bit the dust during the recession., people,1.1099877,context
16,Many young people’s hopes and ambitions bit the dust during the recession.,bytes:\xe2\x80,5.8423853,context
16,Many young people’s hopes and ambitions bit the dust during the recession.,bytes:\x99,0.019753834,context
16,Many young people’s hopes and ambitions bit the dust during the recession.,s,0.008092057,context
16,Many young people’s hopes and ambitions bit the dust during the recession., hopes,5.1980004,context
16,Many young people’s hopes and ambitions bit the dust during the recession., and,0.74450773,context
16,Many young people’s hopes and ambitions bit the dust during the recession., ambitions,4.4107847,preverb
16,Many young people’s hopes and ambitions bit the dust during the recession., bit,13.001048,verb
16,Many young people’s hopes and ambitions bit the dust during the recession., the,0.052843973,context
16,Many young people’s hopes and ambitions bit the dust during the recession., dust,0.050202336,noun
16,Many young people’s hopes and ambitions bit the dust during the recession., during,2.4796534,context
16,Many young people’s hopes and ambitions bit the dust during the recession., the,0.38641667,context
16,Many young people’s hopes and ambitions bit the dust during the recession., recession,2.6192257,context
16,Many young people’s hopes and ambitions bit the dust during the recession.,.,0.7922947,context
17,It was Eve who bit the fruit in the garden of Eden., was,2.2718391,context
17,It was Eve who bit the fruit in the garden of Eden., Eve,12.795447,context
17,It was Eve who bit the fruit in the garden of Eden., who,2.9163744,preverb
17,It was Eve who bit the fruit in the garden of Eden., bit,7.372008,verb
17,It was Eve who bit the fruit in the garden of Eden., the,0.57445633,context
17,It was Eve who bit the fruit in the garden of Eden., fruit,2.5329802,noun
17,It was Eve who bit the fruit in the garden of Eden., in,4.4042554,context
17,It was Eve who bit the fruit in the garden of Eden., the,0.14906247,context
17,It was Eve who bit the fruit in the garden of Eden., garden,1.5564411,context
17,It was Eve who bit the fruit in the garden of Eden., of,0.67807627,context
17,It was Eve who bit the fruit in the garden of Eden., Eden,0.083981924,context
17,It was Eve who bit the fruit in the garden of Eden.,.,1.2856457,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., hotel,7.314729,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., cleaner,11.225916,preverb
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., sweeps,8.766319,verb
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., the,0.5559648,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., dust,5.9546647,noun
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., to,4.6655483,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., keep,5.5657945,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., the,0.23950759,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., rooms,2.791284,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., impecc,9.867343,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean.,ably,0.84695405,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean., clean,0.05360481,context
18,The hotel cleaner sweeps the dust to keep the rooms impeccably clean.,.,0.5530414,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.",I,4.435156,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", come,7.4676466,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", from,1.2212539,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", a,0.620806,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", long,2.1805015,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", line,0.074599706,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", of,0.0069117863,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", doctors,5.51064,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.",",",1.8898784,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", but,2.6924775,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", I,0.62679577,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", wanted,3.0131915,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", to,0.09033151,preverb
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", break,4.4972777,verb
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", the,1.0159096,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", mold,0.33566365,noun
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", by,4.9043746,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", becoming,1.0259566,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", a,0.34420836,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.", singer,4.4632473,context
19,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.",.,1.5486617,context
20,Harry broke a vase in the living room., broke,7.805783,verb
20,Harry broke a vase in the living room., a,3.042727,context
20,Harry broke a vase in the living room., v,5.554172,context
20,Harry broke a vase in the living room.,ase,0.23416893,context
20,Harry broke a vase in the living room., in,2.949741,context
20,Harry broke a vase in the living room., the,0.81346387,context
20,Harry broke a vase in the living room., living,1.9913914,context
20,Harry broke a vase in the living room., room,0.034135617,context
20,Harry broke a vase in the living room.,.,0.6959367,context
21,You must make a mold before filling it with concrete., must,3.6547234,preverb
21,You must make a mold before filling it with concrete., make,4.995635,verb
21,You must make a mold before filling it with concrete., a,1.4515884,context
21,You must make a mold before filling it with concrete., mold,11.72141,noun
21,You must make a mold before filling it with concrete., before,3.048429,context
21,You must make a mold before filling it with concrete., filling,6.2931843,context
21,You must make a mold before filling it with concrete., it,0.8292971,context
21,You must make a mold before filling it with concrete., with,0.518315,context
21,You must make a mold before filling it with concrete., concrete,2.1513548,context
21,You must make a mold before filling it with concrete.,.,0.4022743,context
22,We cannot waste time while our soldiers lose ground on the battlefield., cannot,6.28359,context
22,We cannot waste time while our soldiers lose ground on the battlefield., waste,7.980426,context
22,We cannot waste time while our soldiers lose ground on the battlefield., time,0.60620856,context
22,We cannot waste time while our soldiers lose ground on the battlefield., while,6.0743484,context
22,We cannot waste time while our soldiers lose ground on the battlefield., our,2.8949533,context
22,We cannot waste time while our soldiers lose ground on the battlefield., soldiers,4.6790147,preverb
22,We cannot waste time while our soldiers lose ground on the battlefield., lose,6.2509866,verb
22,We cannot waste time while our soldiers lose ground on the battlefield., ground,5.635717,noun
22,We cannot waste time while our soldiers lose ground on the battlefield., on,4.1586924,context
22,We cannot waste time while our soldiers lose ground on the battlefield., the,0.26105338,context
22,We cannot waste time while our soldiers lose ground on the battlefield., battlefield,0.8395633,context
22,We cannot waste time while our soldiers lose ground on the battlefield.,.,0.97926575,context
23,It is very common for people to lose keys on their way to work., is,1.7459862,context
23,It is very common for people to lose keys on their way to work., very,3.8527212,context
23,It is very common for people to lose keys on their way to work., common,3.6392105,context
23,It is very common for people to lose keys on their way to work., for,0.7289674,context
23,It is very common for people to lose keys on their way to work., people,2.3726885,context
23,It is very common for people to lose keys on their way to work., to,0.46349576,preverb
23,It is very common for people to lose keys on their way to work., lose,4.3420544,verb
23,It is very common for people to lose keys on their way to work., keys,5.4052563,noun
23,It is very common for people to lose keys on their way to work., on,5.266244,context
23,It is very common for people to lose keys on their way to work., their,2.0164585,context
23,It is very common for people to lose keys on their way to work., way,3.683005,context
23,It is very common for people to lose keys on their way to work., to,1.2443663,context
23,It is very common for people to lose keys on their way to work., work,1.2563453,context
23,It is very common for people to lose keys on their way to work.,.,1.2949228,context
24,The workers cleared ground for the new garden., workers,9.873778,preverb
24,The workers cleared ground for the new garden., cleared,10.405273,verb
24,The workers cleared ground for the new garden., ground,7.849064,noun
24,The workers cleared ground for the new garden., for,1.5234542,context
24,The workers cleared ground for the new garden., the,0.68410283,context
24,The workers cleared ground for the new garden., new,2.2732239,context
24,The workers cleared ground for the new garden., garden,5.8400707,context
24,The workers cleared ground for the new garden.,.,1.5578614,context
25,The mayor's announcement made waves in the neighborhood., mayor,9.340238,context
25,The mayor's announcement made waves in the neighborhood.,'s,2.469543,context
25,The mayor's announcement made waves in the neighborhood., announcement,5.009078,preverb
25,The mayor's announcement made waves in the neighborhood., made,6.131384,verb
25,The mayor's announcement made waves in the neighborhood., waves,3.905439,noun
25,The mayor's announcement made waves in the neighborhood., in,1.6023148,context
25,The mayor's announcement made waves in the neighborhood., the,0.6272563,context
25,The mayor's announcement made waves in the neighborhood., neighborhood,5.6495023,context
25,The mayor's announcement made waves in the neighborhood.,.,1.3718424,context
26,I hear waves from my bedroom., hear,7.368676,verb
26,I hear waves from my bedroom., waves,8.559043,noun
26,I hear waves from my bedroom., from,5.0007696,context
26,I hear waves from my bedroom., my,2.376208,context
26,I hear waves from my bedroom., bedroom,2.8254218,context
26,I hear waves from my bedroom.,.,3.0397651,context
27,I love to catch waves in the sea., love,6.123108,context
27,I love to catch waves in the sea., to,3.1899154,preverb
27,I love to catch waves in the sea., catch,7.368111,verb
27,I love to catch waves in the sea., waves,4.9604454,noun
27,I love to catch waves in the sea., in,3.146435,context
27,I love to catch waves in the sea., the,0.7562315,context
27,I love to catch waves in the sea., sea,3.9689996,context
27,I love to catch waves in the sea.,.,2.0448022,context
28,It is certainly not a sensible move to cut corners with national security., is,1.7459862,context
28,It is certainly not a sensible move to cut corners with national security., certainly,6.3268356,context
28,It is certainly not a sensible move to cut corners with national security., not,1.8569915,context
28,It is certainly not a sensible move to cut corners with national security., a,1.6622069,context
28,It is certainly not a sensible move to cut corners with national security., sensible,7.596722,context
28,It is certainly not a sensible move to cut corners with national security., move,3.1542444,context
28,It is certainly not a sensible move to cut corners with national security., to,0.93503505,preverb
28,It is certainly not a sensible move to cut corners with national security., cut,5.5278287,verb
28,It is certainly not a sensible move to cut corners with national security., corners,4.7188644,noun
28,It is certainly not a sensible move to cut corners with national security., with,2.8046281,context
28,It is certainly not a sensible move to cut corners with national security., national,8.987434,context
28,It is certainly not a sensible move to cut corners with national security., security,0.5120011,context
28,It is certainly not a sensible move to cut corners with national security.,.,1.2405484,context
29,Kids love to cut circles into cardboard paper., love,5.7295704,context
29,Kids love to cut circles into cardboard paper., to,1.7400913,preverb
29,Kids love to cut circles into cardboard paper., cut,8.2306795,verb
29,Kids love to cut circles into cardboard paper., circles,8.612556,noun
29,Kids love to cut circles into cardboard paper., into,3.463707,context
29,Kids love to cut circles into cardboard paper., cardboard,6.849654,context
29,Kids love to cut circles into cardboard paper., paper,6.395419,context
29,Kids love to cut circles into cardboard paper.,.,1.5092236,context
30,I am always scared of running into people when I turn corners in the city., am,2.7662377,context
30,I am always scared of running into people when I turn corners in the city., always,6.408294,context
30,I am always scared of running into people when I turn corners in the city., scared,7.0981455,context
30,I am always scared of running into people when I turn corners in the city., of,0.95033497,context
30,I am always scared of running into people when I turn corners in the city., running,6.324769,context
30,I am always scared of running into people when I turn corners in the city., into,1.1494931,context
30,I am always scared of running into people when I turn corners in the city., people,3.0771654,context
30,I am always scared of running into people when I turn corners in the city., when,3.6658754,context
30,I am always scared of running into people when I turn corners in the city., I,0.19894673,preverb
30,I am always scared of running into people when I turn corners in the city., turn,7.9368596,verb
30,I am always scared of running into people when I turn corners in the city., corners,1.5708715,noun
30,I am always scared of running into people when I turn corners in the city., in,5.6779685,context
30,I am always scared of running into people when I turn corners in the city., the,1.455172,context
30,I am always scared of running into people when I turn corners in the city., city,3.782606,context
30,I am always scared of running into people when I turn corners in the city.,.,1.5890248,context
31,Chester was still in the party and ever ready to raise hell in the house.,ster,4.5087614,context
31,Chester was still in the party and ever ready to raise hell in the house., was,4.0253572,context
31,Chester was still in the party and ever ready to raise hell in the house., still,4.62954,context
31,Chester was still in the party and ever ready to raise hell in the house., in,2.5436153,context
31,Chester was still in the party and ever ready to raise hell in the house., the,1.0874288,context
31,Chester was still in the party and ever ready to raise hell in the house., party,8.009634,context
31,Chester was still in the party and ever ready to raise hell in the house., and,2.7765784,context
31,Chester was still in the party and ever ready to raise hell in the house., ever,10.047994,context
31,Chester was still in the party and ever ready to raise hell in the house., ready,2.1815898,context
31,Chester was still in the party and ever ready to raise hell in the house., to,0.44611323,preverb
31,Chester was still in the party and ever ready to raise hell in the house., raise,7.1267443,verb
31,Chester was still in the party and ever ready to raise hell in the house., hell,4.7685065,noun
31,Chester was still in the party and ever ready to raise hell in the house., in,3.5000522,context
31,Chester was still in the party and ever ready to raise hell in the house., the,0.80719674,context
31,Chester was still in the party and ever ready to raise hell in the house., house,5.8005314,context
31,Chester was still in the party and ever ready to raise hell in the house.,.,0.8798804,context
32,It is not always easy to raise kids in this country., is,1.7459862,context
32,It is not always easy to raise kids in this country., not,2.542229,context
32,It is not always easy to raise kids in this country., always,4.14991,context
32,It is not always easy to raise kids in this country., easy,1.1639112,context
32,It is not always easy to raise kids in this country., to,0.15283173,preverb
32,It is not always easy to raise kids in this country., raise,7.232219,verb
32,It is not always easy to raise kids in this country., kids,4.32146,noun
32,It is not always easy to raise kids in this country., in,2.599443,context
32,It is not always easy to raise kids in this country., this,3.1815188,context
32,It is not always easy to raise kids in this country., country,4.296205,context
32,It is not always easy to raise kids in this country.,.,0.5907348,context
33,Orpheus turned around and saw hell.,pheus,5.1670365,context
33,Orpheus turned around and saw hell., turned,7.3043227,context
33,Orpheus turned around and saw hell., around,2.8037302,context
33,Orpheus turned around and saw hell., and,1.1547291,preverb
33,Orpheus turned around and saw hell., saw,1.6757143,verb
33,Orpheus turned around and saw hell., hell,9.511068,noun
33,Orpheus turned around and saw hell.,.,1.5467278,context
34,I may be able to pull strings for you., may,7.381304,context
34,I may be able to pull strings for you., be,1.2312042,context
34,I may be able to pull strings for you., able,2.7596266,context
34,I may be able to pull strings for you., to,0.0069566215,preverb
34,I may be able to pull strings for you., pull,5.5895114,verb
34,I may be able to pull strings for you., strings,6.04984,noun
34,I may be able to pull strings for you., for,2.0831053,context
34,I may be able to pull strings for you., you,0.3358613,context
34,I may be able to pull strings for you.,.,1.6802571,context
35,My toddler unfornately likes to grab and pull hair from our dog., toddler,10.306999,context
35,My toddler unfornately likes to grab and pull hair from our dog., unf,14.333678,context
35,My toddler unfornately likes to grab and pull hair from our dog.,orn,11.744222,context
35,My toddler unfornately likes to grab and pull hair from our dog.,ately,0.7423043,context
35,My toddler unfornately likes to grab and pull hair from our dog., likes,5.274648,context
35,My toddler unfornately likes to grab and pull hair from our dog., to,0.28172737,context
